sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
212596,long,419326,299102,281572
212656,hold,329741,314787,355472
212716,hold,296112,284192,419696
212776,hold,267006,254702,478292
212836,hold,302464,294967,402569
212896,hold,334071,250769,415160
212956,hold,292639,274159,433202
213016,hold,287070,288095,424836
213076,short,280004,368059,351937
213136,long,362640,279830,357530
213196,hold,327032,302569,370399
213256,hold,325802,254155,420043
213316,hold,272916,264973,462112
213376,hold,261661,259415,478924
213436,long,409130,245171,345698
213496,hold,229245,244073,526681
213556,hold,267565,300448,431987
213616,hold,232275,242208,525517
213676,hold,282211,307550,410239
213736,hold,270712,256927,472361
213796,hold,267730,280175,452094
213856,hold,259489,248581,491931
213916,hold,261408,250421,488172
213976,long,510186,343862,145952
214036,long,441506,283021,275473
214096,long,443789,309835,246376
214156,long,378169,300757,321073
214216,long,475622,280194,244184
214276,long,406568,318174,275258
214336,hold,357726,282399,359875
214396,hold,247996,258645,493359
214456,hold,250340,262442,487219
214516,hold,261218,242773,496008
214576,long,407954,312716,279330
214636,long,510912,328269,160818
214696,hold,279475,285046,435479
214756,hold,280889,277440,441670
214816,hold,255600,253678,490722
214876,hold,224558,232961,542481
214936,hold,271196,289599,439205
214996,long,371032,286621,342347
215056,long,424009,261046,314945
215116,hold,307086,280863,412051
215176,long,378503,293118,328378
215236,hold,232411,244962,522626
215296,long,397563,396867,205570
215356,hold,346646,314026,339328
215416,long,425380,311556,263064
215476,long,362069,286667,351264
215536,hold,328980,270072,400948
215596,long,478828,262140,259033
215656,hold,307608,293391,399001
215716,hold,297294,312875,389831
215776,hold,314168,245879,439953
215836,hold,260993,254278,484729
215896,hold,290745,244663,464591
215956,long,378749,262780,358472
216016,long,461307,314916,223777
216076,long,402416,331247,266337
216136,long,439346,275989,284665
216196,long,412085,290774,297141
216256,hold,297640,274358,428001
216316,hold,275285,286676,438039
216376,hold,244264,245798,509939
216436,hold,269076,287458,443467
216496,hold,244564,257375,498061
216556,hold,242400,249176,508425
216616,hold,303061,324296,372643
216676,hold,244569,234557,520873
216736,hold,221371,293472,485157
216796,hold,229539,248564,521897
216856,hold,254034,287710,458256
216916,hold,264116,245269,490615
216976,hold,279150,246381,474470
217036,hold,279187,252850,467963
217096,hold,223934,228710,547355
217156,hold,238988,259893,501119
217216,hold,224925,227926,547149
217276,hold,233752,262415,503833
217336,hold,238084,255230,506687
217396,hold,263631,252475,483894
217456,hold,275108,289199,435692
217516,hold,233013,238822,528165
217576,hold,316863,259689,423448
217636,hold,238504,238610,522886
217696,hold,229860,243929,526210
217756,hold,218391,242838,538770
217816,hold,240387,247003,512610
217876,hold,245264,248454,506282
217936,hold,235623,240312,524066
217996,hold,284000,303888,412112
218056,hold,299028,259127,441844
218116,hold,253744,233826,512430
218176,hold,216002,246271,537726
218236,hold,262873,274732,462395
218296,hold,275167,312803,412030
218356,hold,258223,239176,502601
218416,short,304886,446260,248854
218476,hold,258899,254577,486523
218536,hold,250972,249300,499729
218596,hold,345525,250479,403997
218656,hold,258651,276371,464978
218716,hold,238425,239846,521730
218776,hold,290500,352343,357157
218836,hold,264750,265831,469419
218896,hold,294152,294750,411098
218956,hold,258807,257917,483277
219016,hold,270882,251418,477700
219076,hold,298639,273993,427368
219136,hold,297002,281414,421584
219196,hold,238220,245914,515866
219256,hold,272390,290554,437056
